               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.048171,           0.0080231,           0.0099379,             0.99273,                   1,               0.995,             0.69753,            0.032177,           0.0045976,           0.0036948,           0.0072082,           0.0072082,           0.0072082
                 143,            0.050483,           0.0091928,           0.0060948,             0.85706,             0.99539,             0.98742,             0.54115,            0.042805,           0.0049556,           0.0036075,           0.0071884,           0.0071884,           0.0071884
                 144,            0.057185,            0.011627,           0.0084716,             0.85706,             0.99539,             0.98742,             0.54115,            0.042805,           0.0049556,           0.0036075,           0.0071686,           0.0071686,           0.0071686
                 145,            0.051014,            0.010938,           0.0084276,             0.83035,                   1,             0.98167,             0.65331,            0.037067,           0.0047776,            0.003495,           0.0071488,           0.0071488,           0.0071488
                 146,            0.048237,           0.0090204,           0.0078825,             0.99473,                   1,               0.995,             0.69059,            0.030909,           0.0045727,            0.003311,            0.007129,            0.007129,            0.007129
                 147,            0.049921,            0.010698,           0.0073847,             0.95072,                   1,             0.99143,             0.61658,            0.036101,           0.0047608,           0.0033339,           0.0071092,           0.0071092,           0.0071092
                 148,            0.054532,           0.0093812,           0.0082512,             0.95072,                   1,             0.99143,             0.61658,            0.036101,           0.0047608,           0.0033339,           0.0070894,           0.0070894,           0.0070894
                 149,            0.045905,           0.0080153,           0.0073131,             0.94517,             0.97435,             0.98032,             0.69552,            0.032093,           0.0046761,           0.0042354,           0.0070696,           0.0070696,           0.0070696
                 150,            0.050576,            0.010201,           0.0076426,             0.93237,             0.95122,             0.98548,             0.45933,            0.034423,           0.0048445,           0.0061373,           0.0070498,           0.0070498,           0.0070498
                 151,            0.045432,           0.0095746,             0.01133,             0.99459,                   1,               0.995,              0.7606,            0.026871,           0.0045615,           0.0032534,             0.00703,             0.00703,             0.00703
                 152,            0.045562,           0.0095645,           0.0086396,             0.99459,                   1,               0.995,              0.7606,            0.026871,           0.0045615,           0.0032534,           0.0070102,           0.0070102,           0.0070102
                 153,            0.046543,            0.012062,           0.0080054,             0.99036,                   1,               0.995,             0.70255,            0.027466,            0.004626,           0.0032116,           0.0069904,           0.0069904,           0.0069904
                 154,            0.045627,           0.0089116,           0.0073778,             0.99452,                   1,               0.995,             0.64815,            0.034571,           0.0047921,            0.003257,           0.0069706,           0.0069706,           0.0069706
                 155,            0.048364,           0.0098798,           0.0075154,             0.99542,                   1,               0.995,             0.68652,            0.028868,           0.0045985,           0.0032035,           0.0069508,           0.0069508,           0.0069508
